country_key,country,region_key,region,year,date,holiday
us,United States,federal,Federal holidays,2027,2027-05-31,Memorial Day
us,United States,federal,Federal holidays,2027,2027-06-18,Juneteenth (substitute day)
us,United States,federal,Federal holidays,2027,2027-06-19,Juneteenth
us,United States,federal,Federal holidays,2027,2027-07-04,Independence Day
us,United States,federal,Federal holidays,2027,2027-07-05,Independence Day (substitute day)
us,United States,federal,Federal holidays,2027,2027-09-06,Labour Day
us,United States,federal,Federal holidays,2027,2027-10-11,Columbus Day
us,United States,federal,Federal holidays,2027,2027-11-11,Veterans Day
us,United States,federal,Federal holidays,2027,2027-11-25,Thanksgiving Day
us,United States,federal,Federal holidays,2027,2027-12-24,Christmas Day (substitute day)
us,United States,federal,Federal holidays,2027,2027-12-25,Christmas Day
us,United States,federal,Federal holidays,2027,2027-12-31,New Year's Day (substitute day)
us,United States,al,Alabama,2026,2026-01-01,New Year's Day
us,United States,al,Alabama,2026,2026-01-19,Robert E. Lee/Martin Luther King Birthday
us,United States,al,Alabama,2026,2026-02-16,George Washington/Thomas Jefferson Birthday
us,United States,al,Alabama,2026,2026-04-27,Confederate Memorial Day
us,United States,al,Alabama,2026,2026-05-25,Memorial Day
us,United States,al,Alabama,2026,2026-06-01,Jefferson Davis' birthday
us,United States,al,Alabama,2026,2026-06-19,Juneteenth
us,United States,al,Alabama,2026,2026-07-03,Independence Day (substitute day)
us,United States,al,Alabama,2026,2026-07-04,Independence Day
us,United States,al,Alabama,2026,2026-09-07,Labour Day
us,United States,al,Alabama,2026,2026-10-12,Columbus Day
us,United States,al,Alabama,2026,2026-11-11,Veterans Day
us,United States,al,Alabama,2026,2026-11-26,Thanksgiving Day
us,United States,al,Alabama,2026,2026-12-25,Christmas Day
us,United States,al,Alabama,2027,2027-01-01,New Year's Day
us,United States,al,Alabama,2027,2027-01-18,Robert E. Lee/Martin Luther King Birthday
us,United States,al,Alabama,2027,2027-02-15,George Washington/Thomas Jefferson Birthday
us,United States,al,Alabama,2027,2027-04-26,Confederate Memorial Day
us,United States,al,Alabama,2027,2027-05-31,Memorial Day
us,United States,al,Alabama,2027,2027-06-07,Jefferson Davis' birthday
us,United States,al,Alabama,2027,2027-06-18,Juneteenth (substitute day)
us,United States,al,Alabama,2027,2027-06-19,Juneteenth
us,United States,al,Alabama,2027,2027-07-04,Independence Day
us,United States,al,Alabama,2027,2027-07-05,Independence Day (substitute day)
us,United States,al,Alabama,2027,2027-09-06,Labour Day
us,United States,al,Alabama,2027,2027-10-11,Columbus Day
us,United States,al,Alabama,2027,2027-11-11,Veterans Day
us,United States,al,Alabama,2027,2027-11-25,Thanksgiving Day
us,United States,al,Alabama,2027,2027-12-24,Christmas Day (substitute day)
us,United States,al,Alabama,2027,2027-12-25,Christmas Day
us,United States,al,Alabama,2027,2027-12-31,New Year's Day (substitute day)
us,United States,ak,Alaska,2026,2026-01-01,New Year's Day
us,United States,ak,Alaska,2026,2026-01-19,Martin Luther King Jr. Day
us,United States,ak,Alaska,2026,2026-02-16,President's Day
us,United States,ak,Alaska,2026,2026-03-30,Seward's Day
us,United States,ak,Alaska,2026,2026-05-25,Memorial Day
us,United States,ak,Alaska,2026,2026-06-19,Juneteenth
us,United States,ak,Alaska,2026,2026-07-03,Independence Day (substitute day)
us,United States,ak,Alaska,2026,2026-07-04,Independence Day
us,United States,ak,Alaska,2026,2026-09-07,Labour Day
us,United States,ak,Alaska,2026,2026-10-12,Indigenous Peoples' Day
us,United States,ak,Alaska,2026,2026-10-18,Alaska Day
us,United States,ak,Alaska,2026,2026-11-11,Veterans Day
us,United States,ak,Alaska,2026,2026-11-26,Thanksgiving Day
us,United States,ak,Alaska,2026,2026-12-25,Christmas Day
us,United States,ak,Alaska,2027,2027-01-01,New Year's Day
us,United States,ak,Alaska,2027,2027-01-18,Martin Luther King Jr. Day
us,United States,ak,Alaska,2027,2027-02-15,President's Day
us,United States,ak,Alaska,2027,2027-03-29,Seward's Day
us,United States,ak,Alaska,2027,2027-05-31,Memorial Day
us,United States,ak,Alaska,2027,2027-06-18,Juneteenth (substitute day)
us,United States,ak,Alaska,2027,2027-06-19,Juneteenth
us,United States,ak,Alaska,2027,2027-07-04,Independence Day
us,United States,ak,Alaska,2027,2027-07-05,Independence Day (substitute day)
us,United States,ak,Alaska,2027,2027-09-06,Labour Day
us,United States,ak,Alaska,2027,2027-10-11,Indigenous Peoples' Day
us,United States,ak,Alaska,2027,2027-10-18,Alaska Day
us,United States,ak,Alaska,2027,2027-11-11,Veterans Day
us,United States,ak,Alaska,2027,2027-11-25,Thanksgiving Day
us,United States,ak,Alaska,2027,2027-12-24,Christmas Day (substitute day)
us,United States,ak,Alaska,2027,2027-12-25,Christmas Day
us,United States,ak,Alaska,2027,2027-12-31,New Year's Day (substitute day)
us,United States,az,Arizona,2026,2026-01-01,New Year's Day
us,United States,az,Arizona,2026,2026-01-19,Dr. Martin Luther King Jr./ Civil Rights Day
us,United States,az,Arizona,2026,2026-02-16,Lincoln/Washington Presidents' Day
us,United States,az,Arizona,2026,2026-05-25,Memorial Day
us,United States,az,Arizona,2026,2026-06-19,Juneteenth
us,United States,az,Arizona,2026,2026-07-03,Independence Day (substitute day)
us,United States,az,Arizona,2026,2026-07-04,Independence Day
